,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
53,C2H6,PW91,400,2,0,0.0,-40.63416125,1.982382196,298.15,0.1208207748632506,-38.53095827913675,-0.8716184884019238,100000.0,0.002361606603161837,-39.23507128786945
54,CH2O,PW91,400,2,0,0.0,-22.22004482,0.7001333345,298.15,0.10392676915802412,-21.415984716341974,,100000.0,0.0022691525307903934,-22.09253254339713
55,N2,PW91,400,2,0,0.0,-16.66380238,0.14885690650000002,298.15,0.0899267594989375,-16.425018714001062,0.0,100000.0,0.0019875179407458604,-17.01759718803444
56,NH3,PW91,400,2,0,0.0,-19.58697471,0.908745806,298.15,0.1038844821756928,-18.574344421824307,-0.47700514290652546,100000.0,0.001997397942214486,-19.169868618295556
57,H2O,PW91,400,2,0,0.1,-14.62743896,0.5582884465,298.15,0.10289297940379138,-13.966257534096208,-2.506445205454288,3166.74874006291,0.0022574688087331762,-14.639321859420004
58,H2,PW91,400,2,0,0.1,-6.80653149,0.26617801500000005,298.15,0.08992399693542052,-6.45042947806458,0.0,100000.0,0.0013530551377425749,-6.853842867382529
59,O2,PW91,400,2,0,0.1,-9.78761544,0.096644179,298.15,0.09002851409636758,-9.600942746903632,0.0,100000.0,0.0021293892845886805,-10.235820162103748
60,H2O2,PW91,400,2,0,0.1,-18.65482939,0.690005053,298.15,0.11563704342151138,-17.84918729357849,-1.4093333767692797,100000.0,0.0023742764598153132,-18.557077820072426
61,CO2,PW91,400,2,0,0.1,-23.18960565,0.30328715,298.15,0.0983324859380082,-22.787986014061993,-4.080562177045822,100000.0,0.002223616349002662,-23.450957228517137
62,CO,PW91,400,2,0,0.1,-14.87970402,0.1314542165,298.15,0.08993345324559587,-14.658316350254404,-1.144812342975661,100000.0,0.0020501678732161013,-15.269573901653786
63,HCOOH,PW91,400,2,0,0.1,-30.40035868,0.882377027,298.15,0.113175221179866,-29.404806431820134,-3.9244514030036863,5714.155064883787,0.002828861820863263,-30.248231583710517
64,CH3OH,PW91,400,2,0,0.1,-30.58382973,1.3487397329999997,298.15,0.11864455541285923,-29.116445441587143,-2.0814769872284744,16938.450392599163,0.002638210322623039,-29.9030278492772
65,CH4,PW91,400,2,0,0.1,-24.14296622,1.178519886,298.15,0.10407867890490885,-22.860367655095093,-0.7762174598206185,100000.0,0.001932366828537191,-23.436502825023457
66,C2H4,PW91,400,2,0,0.1,-32.15312208,1.346129148,298.15,0.10921444169832317,-30.69777849030168,0.5420512987574153,100000.0,0.0022743282231292824,-31.375869450027675
67,C2H6,PW91,400,2,0,0.1,-40.66170328,1.9704654090000002,298.15,0.12121115889900014,-38.570026712101,-0.8716184884019238,100000.0,0.0023638532758227687,-39.27480956628756
68,CH2O,PW91,400,2,0,0.1,-22.43464498,0.704539085,298.15,0.10390296645575647,-21.626202928544245,,100000.0,0.002269626785483451,-22.302892154636137
69,N2,PW91,400,2,0,0.1,-16.69101104,0.14907088150000003,298.15,0.0899267177621984,-16.4520134407378,0.0,100000.0,0.001987426887080083,-17.04456476712073
70,NH3,PW91,400,2,0,0.1,-19.81135506,0.9021999635,298.15,0.10389271496546049,-18.80526238153454,-0.47700514290652546,100000.0,0.0019975909343907788,-19.40084411862315
71,H2O,PW91,400,2,0,1.0,-14.62801608,0.5582622685,298.15,0.10289306257844721,-13.966860748921553,-2.506445205454288,3166.74874006291,0.002257471793082302,-14.639925964029041
72,H2,PW91,400,2,0,1.0,-6.80654252,0.266176785,298.15,0.08992399693546799,-6.450441738064532,0.0,100000.0,0.0013530553882660028,-6.853855202076041
73,O2,PW91,400,2,0,1.0,-9.7876216,0.096644141,298.15,0.09002851436460853,-9.600948944635391,0.0,100000.0,0.0021293891680984507,-10.235826325103943
74,H2O2,PW91,400,2,0,1.0,-18.65557627,0.6899540635,298.15,0.11557371565288233,-17.85004849084712,-1.4093333767692797,100000.0,0.0023738527861687482,-18.557812699043332
75,CO2,PW91,400,2,0,1.0,-23.18979612,0.3032797155,298.15,0.09833360139641956,-22.78818280310358,-4.080562177045822,100000.0,0.0022236216775985552,-23.451155606279592
76,CO,PW91,400,2,0,1.0,-14.87975159,0.13145449750000002,298.15,0.0899334530589471,-14.658363639441053,-1.144812342975661,100000.0,0.002050167731827277,-15.269621148685355
77,HCOOH,PW91,400,2,0,1.0,-30.40093829,0.882338595,298.15,0.11317729473839244,-29.405422400261607,-3.9244514030036863,5714.155064883787,0.0028288702273442847,-30.248850058544306
78,CH3OH,PW91,400,2,0,1.0,-30.58427776,1.3488704420000002,298.15,0.11863999132233505,-29.116767326677664,-2.0814769872284744,16938.450392599163,0.0026381902672108727,-29.903343754846585
79,CH4,PW91,400,2,0,1.0,-24.14298015,1.178632788,298.15,0.10407664429849972,-22.8602707177015,-0.7762174598206185,100000.0,0.0019323588813544262,-23.436403518177322
80,C2H4,PW91,400,2,0,1.0,-32.15320886,1.3461131955,298.15,0.10921457108289356,-30.697881093417106,0.5420512987574153,100000.0,0.0022743292568399008,-31.375972361343923
81,C2H6,PW91,400,2,0,1.0,-40.66171845,1.9708580945,298.15,0.12116096646232188,-38.56969938903768,-0.8716184884019238,100000.0,0.0023635348255014524,-39.27438729726094
82,CH2O,PW91,400,2,0,1.0,-22.43508444,0.7045625695,298.15,0.10390264585985975,-21.62661922464014,,100000.0,0.002269626920112348,-22.303308490871636
83,N2,PW91,400,2,0,1.0,-16.69103792,0.1490713755,298.15,0.08992671766657184,-16.452039826833428,0.0,100000.0,0.0019874267815281807,-17.044591121746056
84,NH3,PW91,400,2,0,1.0,-19.81170563,0.9021764969999999,298.15,0.10389310634748417,-18.805636026652515,-0.47700514290652546,100000.0,0.001997593247358978,-19.401218453352595
85,H2O,PW91,520,1,0,0.0,-14.27452848,0.5680188045,298.15,0.10286322317767416,-13.603646452322327,-2.506445205454288,3166.74874006291,0.002256643661081636,-14.276464759873816
86,H2,PW91,520,1,0,0.0,-6.80125016,0.269400442,298.15,0.08992399682198493,-6.441925721178015,0.0,100000.0,0.001352599318280597,-6.845203207923375
87,O2,PW91,520,1,0,0.0,-9.77715147,0.0967761265,298.15,0.09002758672922084,-9.590347756770779,0.0,100000.0,0.0021292965051304324,-10.225197509775418
88,H2O2,PW91,520,1,0,0.0,-18.21852761,0.6949805575000001,298.15,0.1153850717465188,-17.40816198075348,-1.4093333767692797,100000.0,0.00237242707589343,-18.115501113431105
89,CO2,PW91,520,1,0,0.0,-22.99680458,0.3067468205,298.15,0.09798532325849763,-22.5920724362415,-4.080562177045822,100000.0,0.0022220714682558945,-23.254583044501995
90,CO,PW91,520,1,0,0.0,-14.81412619,0.13203385599999998,298.15,0.08993307587045471,-14.592159258129545,-1.144812342975661,100000.0,0.0020502445623126974,-15.203439674383075
91,HCOOH,PW91,520,1,0,0.0,-29.96827129,0.8869017605000001,298.15,0.11296302137948777,-28.968406508120513,-3.9244514030036863,5714.155064883787,0.0028279512795202516,-29.811560182109474
92,CH3OH,PW91,520,1,0,0.0,-30.32714035,1.354880712,298.15,0.11783337869113808,-28.854426259308863,-2.0814769872284744,16938.450392599163,0.002631950751525572,-29.63914237587621
93,CH4,PW91,520,1,0,0.0,-24.12728218,1.1866841865,298.15,0.10396971046042491,-22.836628283039577,-0.7762174598206185,100000.0,0.0019316193247852977,-23.41254058472431
94,C2H4,PW91,520,1,0,0.0,-32.08461452,1.3510609595,298.15,0.10922074406361637,-30.624332816436386,0.5420512987574153,100000.0,0.0022739624644304065,-31.302314725206312
95,C2H6,PW91,520,1,0,0.0,-40.64581615,1.9787510035,298.15,0.12145331174758778,-38.545611834752414,-0.8716184884019238,100000.0,0.002365493964991152,-39.250883860414525
96,CH2O,PW91,520,1,0,0.0,-22.20499714,0.699093285,298.15,0.10394251875783311,-21.401961336242167,,100000.0,0.00226909060806536,-22.078490701036852
97,N2,PW91,520,1,0,0.0,-16.67163654,0.14926431650000002,298.15,0.08992668056995082,-16.43244554293005,0.0,100000.0,0.0019873084598072493,-17.02496156022158
98,NH3,PW91,520,1,0,0.0,-19.60813704,0.911791028,298.15,0.10392407827467276,-18.592421933725326,-0.47700514290652546,100000.0,0.001997022120521514,-19.187834078958815
99,H2O,PW91,520,1,0,0.1,-14.62360434,0.5609739545000001,298.15,0.10289156072009353,-13.959738824779906,-2.506445205454288,3166.74874006291,0.0022571943409168335,-14.63272131752426
100,H2,PW91,520,1,0,0.1,-6.81789823,0.268233383,298.15,0.08992399685998376,-6.459740850140016,0.0,100000.0,0.0013528939226076684,-6.863106173165493
101,O2,PW91,520,1,0,0.1,-9.78860005,0.096738751,298.15,0.09002784859615627,-9.601833450403843,0.0,100000.0,0.0021291807064519916,-10.236648678032504
102,H2O2,PW91,520,1,0,0.1,-18.64220114,0.6911829780000001,298.15,0.11617949312475107,-17.83483866887525,-1.4093333767692797,100000.0,0.0023780089838297143,-18.54384204740408
