,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
48,CO,PW91,400,2,0,0.0,-14.84035205,0.13175775150000002,298.15,0.08993325373496075,-14.61866104476504,-1.144812342975661,100000.0,0.0020502551549886183,-15.229944619224895
49,HCOOH,PW91,400,2,0,0.0,-30.01530718,0.8884208700000001,298.15,0.11277555813448437,-29.014110751865516,-3.9244514030036863,5714.155064883787,0.0028270152251298492,-29.85698534123798
50,CH3OH,PW91,400,2,0,0.0,-30.34430225,1.357245452,298.15,0.1176105593912995,-28.8694462386087,-2.0814769872284744,16938.450392599163,0.002630602465466733,-29.653760363687606
51,CH4,PW91,400,2,0,0.0,-24.11865983,1.187398426,298.15,0.10396130319826269,-22.827300100801736,-0.7762174598206185,100000.0,0.0019317394442898551,-23.403248216116758
52,C2H4,PW91,400,2,0,0.0,-32.08566446,1.3538932555,298.15,0.10910462531676135,-30.622666579183235,0.5420512987574153,100000.0,0.002273428375635218,-31.300489249378874
53,C2H6,PW91,400,2,0,0.0,-40.63521851,1.981574788,298.15,0.12108615895500519,-38.532557563044996,-0.8716184884019238,100000.0,0.0023634126004156183,-39.23720902985891
54,CH2O,PW91,400,2,0,0.0,-22.22878525,0.7009299120000001,298.15,0.10391833508072357,-21.423937002919278,,100000.0,0.002269097962616349,-22.10046856047334
55,N2,PW91,400,2,0,0.0,-16.67765283,0.1488190255,298.15,0.08992676695360649,-16.438907037546393,0.0,100000.0,0.0019874808313083167,-17.031474447400967
56,NH3,PW91,400,2,0,0.0,-19.59295163,0.9083681425,298.15,0.10388275936510871,-18.580700728134893,-0.47700514290652546,100000.0,0.001997389314803527,-19.176222352343565
57,H2O,PW91,400,2,0,0.1,-14.63492962,0.558056267,298.15,0.10289284248621611,-13.973980510513783,-2.506445205454288,3166.74874006291,0.002257379796483878,-14.647018296835451
58,H2,PW91,400,2,0,0.1,-6.80691209,0.26635286750000003,298.15,0.08992399692854763,-6.450635225571452,0.0,100000.0,0.0013529849538025359,-6.854027689547678
